Word1,Word2,Similarity Score,Ground Truth,Label_similar,label_correct,0
मोहब्बत,सेक्स,2.677423059940338,6.8,0.0,0.0,
बाघ,बिल्ली,4.534245729446411,7.0,0.0,0.0,
किताब,कागज़,3.9203479886054993,7.6,0.0,0.0,
कंप्यूटर,कीबोर्ड,6.321352124214172,7.6,1.0,1.0,
कंप्यूटर,इंटरनेट,6.814444065093994,8.0,1.0,1.0,
विमान,कार,5.006905794143677,6.0,0.0,0.0,
रेलगाड़ी,कार,5.621276497840881,6.2,0.0,0.0,
टेलीफोन,संचार,3.3637261390686035,7.6,0.0,0.0,
टेलीविजन,रेडियो,6.98937714099884,6.4,1.0,1.0,
मीडिया,रेडियो,3.021719455718994,5.8,0.0,1.0,
ब्रेड,मक्खन,6.773778200149536,6.6,1.0,1.0,
खीरा,आलू,6.6654181480407715,5.8,0.0,0.0,
चिकित्सक,नर्स,6.168363690376282,7.6,1.0,1.0,
प्रोफ़ेसर,चिकित्सक,3.2740038633346558,4.6,0.0,1.0,
छात्र,प्रोफ़ेसर,3.694077432155609,7.0,0.0,0.0,
होशियार,छात्र,0.5561830848455429,5.2,0.0,1.0,
होशियार,बेवकूफ,4.8176223039627075,6.2,0.0,0.0,
किताब,पुस्तकालय,2.0645757019519806,7.6,0.0,0.0,
बैंक,पैसे,2.997545003890991,8.0,0.0,0.0,
लकड़ी,जंगल,4.181185662746429,7.0,0.0,0.0,
प्रोफ़ेसर,खीरा,-0.13267992064356804,0.0,0.0,1.0,
राजा,रानी,5.393041372299194,8.2,0.0,0.0,
बिशप,रबी,-0.15990234911441803,7.0,0.0,0.0,
यरूशलेम,इजराइल,3.4465306997299194,7.8,0.0,0.0,
पवित्र,सेक्स,0.8093112707138062,1.0,0.0,1.0,
माराडोना,फ़ुटबॉल,6.376366019248962,7.8,1.0,1.0,
फ़ुटबॉल,सॉकर,7.67241895198822,9.0,1.0,1.0,
फ़ुटबॉल,बास्केटबाल,6.42037034034729,6.4,1.0,1.0,
फ़ुटबॉल,टेनिस,6.109373569488525,5.8,0.0,0.0,
टेनिस,रैकेट,2.5865691900253296,7.4,0.0,0.0,
कानून,वकील,2.820814847946167,7.8,0.0,0.0,
चलचित्र,पॉपकॉर्न,2.3463162779808044,6.6,0.0,0.0,
चलचित्र,आलोचक,1.6909989714622498,6.6,0.0,0.0,
चलचित्र,थिएटर,3.6171555519104004,8.4,0.0,0.0,
पीना,कार,0.31206266954541206,1.4,0.0,1.0,
पीना,कान,1.1627373099327087,0.4,0.0,1.0,
पीना,मुंह,2.1258363127708435,7.0,0.0,0.0,
बच्चा,मां,4.030917584896088,7.2,0.0,0.0,
पीना,मां,1.018829271197319,1.8,0.0,1.0,
मणि,गहना,2.8982898592948914,6.8,0.0,0.0,
भट्ठी,स्टोव,6.181509494781494,8.4,1.0,1.0,
भोजन,फल,4.779364168643951,6.6,0.0,0.0,
पक्षी,सारस,7.56714403629303,7.4,1.0,1.0,
भाई,साधु,1.2475913763046265,1.4,0.0,1.0,
यात्रा,कार,2.221696972846985,6.2,0.0,0.0,
साधु,गुलाम,1.2551121413707733,0.2,0.0,1.0,
कांच,जादूगर,1.8319553136825562,2.0,0.0,1.0,
पैसे,मुद्रा,1.4955361187458038,8.6,0.0,0.0,
पैसे,धन,5.8111536502838135,9.2,0.0,0.0,
पैसे,संपत्ति,3.4099215269088745,8.4,0.0,0.0,
पैसे,बैंक,2.997545003890991,8.2,0.0,0.0,
पैसे,जमा,3.111402690410614,6.6,0.0,0.0,
पैसे,ऑपरेशन,0.9121876955032349,2.6,0.0,1.0,
बाघ,जैगुआर,2.142988294363022,8.0,0.0,0.0,
बाघ,जानवर,6.211882829666138,7.6,1.0,1.0,
बाघ,चिड़ियाघर,5.366618633270264,6.8,0.0,0.0,
मनोविज्ञान,चिंता,1.2763716280460358,6.2,0.0,0.0,
मनोविज्ञान,डर,-0.5301593989133835,5.2,0.0,1.0,
मनोविज्ञान,डिप्रेशन,2.2133581340312958,7.0,0.0,0.0,
मनोविज्ञान,क्लिनिक,1.7297522723674774,6.4,0.0,0.0,
मनोविज्ञान,चिकित्सक,3.0530259013175964,7.0,0.0,0.0,
मनोविज्ञान,मन,1.9094140827655792,7.4,0.0,0.0,
मनोविज्ञान,स्वास्थ्य,3.5474833846092224,6.2,0.0,0.0,
मनोविज्ञान,विज्ञान,6.732322573661804,7.0,1.0,1.0,
मनोविज्ञान,अनुशासन,3.8546544313430786,4.2,0.0,1.0,
,,,,,,Accuracy  = 
,,,,,,40.0
