Word1,Word2,Similarity Score,Ground Truth,Label_similar,label_correct,0
मोहब्बत,सेक्स,3.1048720902571465,6.8,0.0,1.0,
बाघ,बिल्ली,5.07221630398382,7.0,0.0,1.0,
किताब,कागज़,4.883721403618334,7.6,0.0,1.0,
कंप्यूटर,कीबोर्ड,5.00570819377307,7.6,0.0,1.0,
कंप्यूटर,इंटरनेट,6.49921169998315,8.0,0.0,0.0,
विमान,कार,5.341457965787459,6.0,0.0,1.0,
रेलगाड़ी,कार,4.972020466777211,6.2,0.0,1.0,
टेलीफोन,संचार,4.754508127570717,7.6,0.0,1.0,
टेलीविजन,रेडियो,6.1827781300557945,6.4,0.0,1.0,
मीडिया,रेडियो,4.701312026940434,5.8,0.0,1.0,
ब्रेड,मक्खन,5.793740823848332,6.6,0.0,1.0,
खीरा,आलू,4.9648171673432016,5.8,0.0,1.0,
चिकित्सक,नर्स,6.21322321727755,7.6,0.0,1.0,
प्रोफ़ेसर,चिकित्सक,3.427023136010416,4.6,0.0,1.0,
छात्र,प्रोफ़ेसर,4.337827686247484,7.0,0.0,1.0,
होशियार,छात्र,3.5356843069260147,5.2,0.0,1.0,
होशियार,बेवकूफ,5.072428580531099,6.2,0.0,1.0,
किताब,पुस्तकालय,4.086168430985074,7.6,0.0,1.0,
बैंक,पैसे,4.904512593717489,8.0,0.0,0.0,
लकड़ी,जंगल,5.226679480978017,7.0,0.0,1.0,
प्रोफ़ेसर,खीरा,-0.2286953828812349,0.0,0.0,1.0,
राजा,रानी,6.017463004358257,8.2,0.0,0.0,
बिशप,रबी,0.8549523794546497,7.0,0.0,1.0,
यरूशलेम,इजराइल,3.3504319717644,7.8,0.0,1.0,
पवित्र,सेक्स,2.4622243733825293,1.0,0.0,1.0,
माराडोना,फ़ुटबॉल,3.6858400103859608,7.8,0.0,1.0,
फ़ुटबॉल,सॉकर,6.038356183070453,9.0,0.0,0.0,
फ़ुटबॉल,बास्केटबाल,4.116497038569916,6.4,0.0,1.0,
फ़ुटबॉल,टेनिस,4.422362044370589,5.8,0.0,1.0,
टेनिस,रैकेट,3.7793458990320423,7.4,0.0,1.0,
कानून,वकील,4.92861165917598,7.8,0.0,1.0,
चलचित्र,पॉपकॉर्न,2.63779802680318,6.6,0.0,1.0,
चलचित्र,आलोचक,1.6194463501546692,6.6,0.0,1.0,
चलचित्र,थिएटर,3.037894075968484,8.4,0.0,0.0,
पीना,कार,1.9024772487344208,1.4,0.0,1.0,
पीना,कान,2.482152865741332,0.4,0.0,1.0,
पीना,मुंह,3.781032747800327,7.0,0.0,1.0,
बच्चा,मां,6.019618679406412,7.2,0.0,1.0,
पीना,मां,3.0418319243733025,1.8,0.0,1.0,
मणि,गहना,2.2842834284456988,6.8,0.0,1.0,
भट्ठी,स्टोव,4.009144293812885,8.4,0.0,0.0,
भोजन,फल,5.758231716437006,6.6,0.0,1.0,
पक्षी,सारस,6.178903617067087,7.4,0.0,1.0,
भाई,साधु,3.520414942282754,1.4,0.0,1.0,
यात्रा,कार,4.399593013568637,6.2,0.0,1.0,
साधु,गुलाम,1.6170268904715672,0.2,0.0,1.0,
कांच,जादूगर,2.278000321905802,2.0,0.0,1.0,
पैसे,मुद्रा,4.549495595457074,8.6,0.0,0.0,
पैसे,धन,6.422326508596257,9.2,0.0,0.0,
पैसे,संपत्ति,5.09533640988507,8.4,0.0,0.0,
पैसे,बैंक,4.904512593717489,8.2,0.0,0.0,
पैसे,जमा,5.684830999242085,6.6,0.0,1.0,
पैसे,ऑपरेशन,3.0793230248472145,2.6,0.0,1.0,
बाघ,जैगुआर,2.0070286719898696,8.0,0.0,0.0,
बाघ,जानवर,6.394226472439543,7.6,0.0,1.0,
बाघ,चिड़ियाघर,4.927507266470158,6.8,0.0,1.0,
मनोविज्ञान,चिंता,2.9862714626607274,6.2,0.0,1.0,
मनोविज्ञान,डर,2.074915531853755,5.2,0.0,1.0,
मनोविज्ञान,डिप्रेशन,2.163737701836638,7.0,0.0,1.0,
मनोविज्ञान,क्लिनिक,2.9505009673736344,6.4,0.0,1.0,
मनोविज्ञान,चिकित्सक,4.254947727834103,7.0,0.0,1.0,
मनोविज्ञान,मन,3.4414510473865683,7.4,0.0,1.0,
मनोविज्ञान,स्वास्थ्य,4.505579349251767,6.2,0.0,1.0,
मनोविज्ञान,विज्ञान,6.845950024771819,7.0,0.0,1.0,
मनोविज्ञान,अनुशासन,3.4884858829979937,4.2,0.0,1.0,
,,,,,,Accuracy  = 
,,,,,,83.07692307692308
