Word1,Word2,Similarity Score,Ground Truth,Label_similar,label_correct,0
मोहब्बत,सेक्स,4.556120336055756,6.8,0.0,0.0,
बाघ,बिल्ली,6.9956135749816895,7.0,1.0,1.0,
किताब,कागज़,6.167408227920532,7.6,1.0,1.0,
कंप्यूटर,कीबोर्ड,7.387561798095703,7.6,1.0,1.0,
कंप्यूटर,इंटरनेट,8.132941126823425,8.0,1.0,1.0,
विमान,कार,7.317672967910767,6.0,1.0,1.0,
रेलगाड़ी,कार,7.4508678913116455,6.2,1.0,1.0,
टेलीफोन,संचार,6.053940653800964,7.6,1.0,1.0,
टेलीविजन,रेडियो,8.331559300422668,6.4,1.0,1.0,
मीडिया,रेडियो,6.608157753944397,5.8,0.0,0.0,
ब्रेड,मक्खन,7.836548686027527,6.6,1.0,1.0,
खीरा,आलू,8.782093524932861,5.8,0.0,0.0,
चिकित्सक,नर्स,7.488391399383545,7.6,1.0,1.0,
प्रोफ़ेसर,चिकित्सक,5.749286413192749,4.6,0.0,1.0,
छात्र,प्रोफ़ेसर,5.532459020614624,7.0,0.0,0.0,
होशियार,छात्र,5.035465955734253,5.2,0.0,1.0,
होशियार,बेवकूफ,6.357782483100891,6.2,1.0,1.0,
किताब,पुस्तकालय,5.051687955856323,7.6,0.0,0.0,
बैंक,पैसे,6.151034235954285,8.0,1.0,1.0,
लकड़ी,जंगल,6.185673475265503,7.0,1.0,1.0,
प्रोफ़ेसर,खीरा,0.7584117352962494,0.0,0.0,1.0,
राजा,रानी,7.287682294845581,8.2,1.0,1.0,
बिशप,रबी,0.5780581384897232,7.0,0.0,0.0,
यरूशलेम,इजराइल,5.9061771631240845,7.8,0.0,0.0,
पवित्र,सेक्स,2.598040997982025,1.0,0.0,1.0,
माराडोना,फ़ुटबॉल,8.15798819065094,7.8,1.0,1.0,
फ़ुटबॉल,सॉकर,8.859202861785889,9.0,1.0,1.0,
फ़ुटबॉल,बास्केटबाल,7.552269697189331,6.4,1.0,1.0,
फ़ुटबॉल,टेनिस,8.141264915466309,5.8,0.0,0.0,
टेनिस,रैकेट,5.47304630279541,7.4,0.0,0.0,
कानून,वकील,5.8147889375686646,7.8,0.0,0.0,
चलचित्र,पॉपकॉर्न,3.7763354182243347,6.6,0.0,0.0,
चलचित्र,आलोचक,4.107886850833893,6.6,0.0,0.0,
चलचित्र,थिएटर,6.0516357421875,8.4,1.0,1.0,
पीना,कार,2.7156099677085876,1.4,0.0,1.0,
पीना,कान,4.698448181152344,0.4,0.0,1.0,
पीना,मुंह,5.286827087402344,7.0,0.0,0.0,
बच्चा,मां,6.1274003982543945,7.2,1.0,1.0,
पीना,मां,3.8894081115722656,1.8,0.0,1.0,
मणि,गहना,4.1626498103141785,6.8,0.0,0.0,
भट्ठी,स्टोव,7.859678864479065,8.4,1.0,1.0,
भोजन,फल,7.075402140617371,6.6,1.0,1.0,
पक्षी,सारस,8.990167379379272,7.4,1.0,1.0,
भाई,साधु,4.486233592033386,1.4,0.0,1.0,
यात्रा,कार,5.377228260040283,6.2,0.0,0.0,
साधु,गुलाम,3.432704210281372,0.2,0.0,1.0,
कांच,जादूगर,4.55671101808548,2.0,0.0,1.0,
पैसे,मुद्रा,5.651423335075378,8.6,0.0,0.0,
पैसे,धन,7.1551841497421265,9.2,1.0,1.0,
पैसे,संपत्ति,6.420890688896179,8.4,1.0,1.0,
पैसे,बैंक,6.151034235954285,8.2,1.0,1.0,
पैसे,जमा,6.218357086181641,6.6,1.0,1.0,
पैसे,ऑपरेशन,3.837069869041443,2.6,0.0,1.0,
बाघ,जैगुआर,4.950258731842041,8.0,0.0,0.0,
बाघ,जानवर,7.7931517362594604,7.6,1.0,1.0,
बाघ,चिड़ियाघर,7.320681214332581,6.8,1.0,1.0,
मनोविज्ञान,चिंता,4.206216931343079,6.2,0.0,0.0,
मनोविज्ञान,डर,2.8740525245666504,5.2,0.0,1.0,
मनोविज्ञान,डिप्रेशन,5.141924619674683,7.0,0.0,0.0,
मनोविज्ञान,क्लिनिक,5.18187940120697,6.4,0.0,0.0,
मनोविज्ञान,चिकित्सक,6.005289554595947,7.0,1.0,1.0,
मनोविज्ञान,मन,4.5901888608932495,7.4,0.0,0.0,
मनोविज्ञान,स्वास्थ्य,5.58452308177948,6.2,0.0,0.0,
मनोविज्ञान,विज्ञान,8.348416686058044,7.0,1.0,1.0,
मनोविज्ञान,अनुशासन,6.813349723815918,4.2,0.0,0.0,
,,,,,,Accuracy  = 
,,,,,,64.61538461538461
