Word1,Word2,Similarity Score,Ground Truth,Label_similar,label_correct,0
मोहब्बत,सेक्स,2.699337601661682,6.8,0.0,1.0,
बाघ,बिल्ली,5.102107524871826,7.0,0.0,1.0,
किताब,कागज़,3.475140333175659,7.6,0.0,1.0,
कंप्यूटर,कीबोर्ड,5.491313934326172,7.6,0.0,1.0,
कंप्यूटर,इंटरनेट,6.299806833267212,8.0,0.0,0.0,
विमान,कार,4.7954875230789185,6.0,0.0,1.0,
रेलगाड़ी,कार,4.530239403247833,6.2,0.0,1.0,
टेलीफोन,संचार,4.404396414756775,7.6,0.0,1.0,
टेलीविजन,रेडियो,6.2103354930877686,6.4,0.0,1.0,
मीडिया,रेडियो,3.6681944131851196,5.8,0.0,1.0,
ब्रेड,मक्खन,6.095521450042725,6.6,0.0,1.0,
खीरा,आलू,6.736147403717041,5.8,0.0,1.0,
चिकित्सक,नर्स,5.904960036277771,7.6,0.0,1.0,
प्रोफ़ेसर,चिकित्सक,3.4934306144714355,4.6,0.0,1.0,
छात्र,प्रोफ़ेसर,3.7128672003746033,7.0,0.0,1.0,
होशियार,छात्र,2.5025635957717896,5.2,0.0,1.0,
होशियार,बेवकूफ,4.750024080276489,6.2,0.0,1.0,
किताब,पुस्तकालय,3.8493242859840393,7.6,0.0,1.0,
बैंक,पैसे,3.1828883290290833,8.0,0.0,0.0,
लकड़ी,जंगल,4.263200461864471,7.0,0.0,1.0,
प्रोफ़ेसर,खीरा,0.7831522822380066,0.0,0.0,1.0,
राजा,रानी,6.097291111946106,8.2,0.0,0.0,
बिशप,रबी,1.3658355176448822,7.0,0.0,1.0,
यरूशलेम,इजराइल,4.021904766559601,7.8,0.0,1.0,
पवित्र,सेक्स,1.4235880970954895,1.0,0.0,1.0,
माराडोना,फ़ुटबॉल,5.744487643241882,7.8,0.0,1.0,
फ़ुटबॉल,सॉकर,7.166603207588196,9.0,0.0,0.0,
फ़ुटबॉल,बास्केटबाल,6.484552621841431,6.4,0.0,1.0,
फ़ुटबॉल,टेनिस,5.8000922203063965,5.8,0.0,1.0,
टेनिस,रैकेट,3.734545111656189,7.4,0.0,1.0,
कानून,वकील,4.01933491230011,7.8,0.0,1.0,
चलचित्र,पॉपकॉर्न,3.054186999797821,6.6,0.0,1.0,
चलचित्र,आलोचक,1.678493618965149,6.6,0.0,1.0,
चलचित्र,थिएटर,3.784036636352539,8.4,0.0,0.0,
पीना,कार,2.5974446535110474,1.4,0.0,1.0,
पीना,कान,2.1580736339092255,0.4,0.0,1.0,
पीना,मुंह,3.1134822964668274,7.0,0.0,1.0,
बच्चा,मां,4.313420653343201,7.2,0.0,1.0,
पीना,मां,2.432612031698227,1.8,0.0,1.0,
मणि,गहना,2.8587764501571655,6.8,0.0,1.0,
भट्ठी,स्टोव,5.57369589805603,8.4,0.0,0.0,
भोजन,फल,3.939286768436432,6.6,0.0,1.0,
पक्षी,सारस,7.059296369552612,7.4,0.0,1.0,
भाई,साधु,2.0562946796417236,1.4,0.0,1.0,
यात्रा,कार,2.9611560702323914,6.2,0.0,1.0,
साधु,गुलाम,1.8787337839603424,0.2,0.0,1.0,
कांच,जादूगर,2.441290467977524,2.0,0.0,1.0,
पैसे,मुद्रा,2.9655948281288147,8.6,0.0,0.0,
पैसे,धन,4.953993260860443,9.2,0.0,0.0,
पैसे,संपत्ति,3.3704903721809387,8.4,0.0,0.0,
पैसे,बैंक,3.1828883290290833,8.2,0.0,0.0,
पैसे,जमा,3.5473141074180603,6.6,0.0,1.0,
पैसे,ऑपरेशन,2.476557344198227,2.6,0.0,1.0,
बाघ,जैगुआर,3.8288185000419617,8.0,0.0,0.0,
बाघ,जानवर,6.168928146362305,7.6,0.0,1.0,
बाघ,चिड़ियाघर,5.949379801750183,6.8,0.0,1.0,
मनोविज्ञान,चिंता,2.4161311984062195,6.2,0.0,1.0,
मनोविज्ञान,डर,1.6781120002269745,5.2,0.0,1.0,
मनोविज्ञान,डिप्रेशन,3.14555287361145,7.0,0.0,1.0,
मनोविज्ञान,क्लिनिक,3.547765612602234,6.4,0.0,1.0,
मनोविज्ञान,चिकित्सक,3.9561596512794495,7.0,0.0,1.0,
मनोविज्ञान,मन,3.03399920463562,7.4,0.0,1.0,
मनोविज्ञान,स्वास्थ्य,3.8524648547172546,6.2,0.0,1.0,
मनोविज्ञान,विज्ञान,6.7109352350234985,7.0,0.0,1.0,
मनोविज्ञान,अनुशासन,3.4389039874076843,4.2,0.0,1.0,
,,,,,,Accuracy  = 
,,,,,,83.07692307692308
