Word1,Word2,Similarity Score,Ground Truth,Label_similar,label_correct,0
मोहब्बत,सेक्स,3.3713993430137634,6.8,0.0,0.0,
बाघ,बिल्ली,6.4748722314834595,7.0,1.0,1.0,
किताब,कागज़,5.339189767837524,7.6,1.0,1.0,
कंप्यूटर,कीबोर्ड,6.9081127643585205,7.6,1.0,1.0,
कंप्यूटर,इंटरनेट,7.116360068321228,8.0,1.0,1.0,
विमान,कार,6.274392604827881,6.0,1.0,1.0,
रेलगाड़ी,कार,6.108957529067993,6.2,1.0,1.0,
टेलीफोन,संचार,5.805759429931641,7.6,1.0,1.0,
टेलीविजन,रेडियो,7.580018043518066,6.4,1.0,1.0,
मीडिया,रेडियो,5.3067708015441895,5.8,1.0,1.0,
ब्रेड,मक्खन,7.221522927284241,6.6,1.0,1.0,
खीरा,आलू,8.323273658752441,5.8,1.0,1.0,
चिकित्सक,नर्स,7.003461718559265,7.6,1.0,1.0,
प्रोफ़ेसर,चिकित्सक,5.450975298881531,4.6,1.0,1.0,
छात्र,प्रोफ़ेसर,5.060731768608093,7.0,1.0,1.0,
होशियार,छात्र,3.815128207206726,5.2,0.0,0.0,
होशियार,बेवकूफ,5.930488109588623,6.2,1.0,1.0,
किताब,पुस्तकालय,4.70384955406189,7.6,1.0,1.0,
बैंक,पैसे,4.910287857055664,8.0,1.0,1.0,
लकड़ी,जंगल,5.4665207862854,7.0,1.0,1.0,
प्रोफ़ेसर,खीरा,1.2081575393676758,0.0,0.0,1.0,
राजा,रानी,7.0527732372283936,8.2,1.0,1.0,
बिशप,रबी,1.4684350788593292,7.0,0.0,0.0,
यरूशलेम,इजराइल,5.267122387886047,7.8,1.0,1.0,
पवित्र,सेक्स,2.6205986738204956,1.0,0.0,1.0,
माराडोना,फ़ुटबॉल,6.9023507833480835,7.8,1.0,1.0,
फ़ुटबॉल,सॉकर,8.435311317443848,9.0,1.0,1.0,
फ़ुटबॉल,बास्केटबाल,7.39075779914856,6.4,1.0,1.0,
फ़ुटबॉल,टेनिस,7.513461709022522,5.8,1.0,1.0,
टेनिस,रैकेट,5.263866186141968,7.4,1.0,1.0,
कानून,वकील,4.9356213212013245,7.8,1.0,1.0,
चलचित्र,पॉपकॉर्न,4.097071588039398,6.6,1.0,1.0,
चलचित्र,आलोचक,2.9972124099731445,6.6,0.0,0.0,
चलचित्र,थिएटर,5.001433491706848,8.4,1.0,1.0,
पीना,कार,3.183184266090393,1.4,0.0,1.0,
पीना,कान,3.3919182419776917,0.4,0.0,1.0,
पीना,मुंह,4.137030839920044,7.0,1.0,1.0,
बच्चा,मां,5.511190891265869,7.2,1.0,1.0,
पीना,मां,2.791302800178528,1.8,0.0,1.0,
मणि,गहना,4.018123149871826,6.8,1.0,1.0,
भट्ठी,स्टोव,7.022818326950073,8.4,1.0,1.0,
भोजन,फल,5.981048941612244,6.6,1.0,1.0,
पक्षी,सारस,8.535009026527405,7.4,1.0,1.0,
भाई,साधु,2.832368314266205,1.4,0.0,1.0,
यात्रा,कार,4.197636246681213,6.2,1.0,1.0,
साधु,गुलाम,2.4771392345428467,0.2,0.0,1.0,
कांच,जादूगर,3.681829273700714,2.0,0.0,1.0,
पैसे,मुद्रा,4.1502490639686584,8.6,1.0,1.0,
पैसे,धन,5.8708906173706055,9.2,1.0,1.0,
पैसे,संपत्ति,5.078941583633423,8.4,1.0,1.0,
पैसे,बैंक,4.910287857055664,8.2,1.0,1.0,
पैसे,जमा,4.8238226771354675,6.6,1.0,1.0,
पैसे,ऑपरेशन,3.3885914087295532,2.6,0.0,1.0,
बाघ,जैगुआर,4.780786037445068,8.0,1.0,1.0,
बाघ,जानवर,7.225027084350586,7.6,1.0,1.0,
बाघ,चिड़ियाघर,7.05132782459259,6.8,1.0,1.0,
मनोविज्ञान,चिंता,3.4812650084495544,6.2,0.0,0.0,
मनोविज्ञान,डर,2.02025443315506,5.2,0.0,0.0,
मनोविज्ञान,डिप्रेशन,4.415682256221771,7.0,1.0,1.0,
मनोविज्ञान,क्लिनिक,4.649744629859924,6.4,1.0,1.0,
मनोविज्ञान,चिकित्सक,5.237498879432678,7.0,1.0,1.0,
मनोविज्ञान,मन,3.905772566795349,7.4,0.0,0.0,
मनोविज्ञान,स्वास्थ्य,5.233972072601318,6.2,1.0,1.0,
मनोविज्ञान,विज्ञान,8.076862692832947,7.0,1.0,1.0,
मनोविज्ञान,अनुशासन,5.243754982948303,4.2,1.0,1.0,
,,,,,,Accuracy  = 
,,,,,,89.23076923076924
